gene,module
NSD2,M5
NSL1,M5
NSMAF,M5
NSMCE2,M5
NSMCE3,M5
NSMCE4A,M5
NSUN5,M5
NT5C,M5
NT5C2,M5
NUAK1,M5
NUBP2,M5
NUBPL,M5
NUDCD3,M5
NUDT1,M5
NUDT17,M5
NUDT9,M5
NUFIP2,M5
NUGGC,M5
NUP133,M5
NUP155,M5
NUP54,M5
NUP85,M5
NXPH4,M5
OBSCN,M5
OBSCN-AS1,M5
OCEL1,M5
OFD1,M5
OLMALINC,M5
OPRL1,M5
OSGEP,M5
OTUD4,M5
OXCT1,M5
OXR1,M5
OXSR1,M5
P2RX4,M5
P2RY8,M5
P3H4,M5
P4HA1,M5
PABPN1,M5
PACS2,M5
PAFAH1B3,M5
PAIP2B,M5
PALS2,M5
PAN2,M5
PANX1,M5
PAPLN-AS1,M5
PAQR3,M5
PAQR7,M5
PARAIL,M5
PARK7,M5
PARM1,M5
PARN,M5
PARP15,M5
PARP4,M5
PAWR,M5
PBDC1,M5
PBLD,M5
PBX4,M5
PCBD1,M5
PCBP3,M5
PCDH1,M5
PCDH9,M5
PCED1B-AS1,M5
PCGF3,M5
PCGF3-AS1,M5
PCMTD2,M5
PCNA,M5
PCSK5,M5
PDCD7,M5
PDE9A,M5
PDGFC,M5
PDGFD,M5
PDHB,M5
PDIA3,M5
PDIA3P1,M5
PEDS1,M5
PEMT,M5
PER3,M5
PEX12,M5
PFDN2,M5
PFDN6,M5
PFKL,M5
PFKM,M5
PGAM5,M5
PGM2L1,M5
PHC1P1,M5
PHF19,M5
PHF2,M5
PHF20L1,M5
PHF3,M5
PHF7,M5
PHKB,M5
PHLDB2,M5
PHPT1,M5
PI4K2A,M5
PI4KAP2,M5
PIAS3,M5
PIDD1,M5
PIGBOS1,M5
PIGC,M5
PIGK,M5
PIGL,M5
PIGQ,M5
PIGW,M5
PIH1D1,M5
PIK3C3,M5
PIK3IP1,M5
PIK3IP1-DT,M5
PILRB,M5
PINLYP,M5
PJA2,M5
PKD1,M5
PKD2,M5
PLAG1,M5
PLAGL1,M5
PLAGL2,M5
PLCB1,M5
PLD6,M5
PLEKHA5,M5
PLEKHF1,M5
PLEKHG4,M5
PLIN2,M5
PLXDC1,M5
PMP22,M5
PMPCA,M5
PMS1,M5
PMS2,M5
PMS2CL,M5
PNMA1,M5
PNMA6A,M5
PNOC,M5
PNPLA4,M5
PNPO,M5
PODXL2,M5
POFUT3,M5
POGLUT1,M5
POGLUT3,M5
POGZ,M5
POLH,M5
POLR1C,M5
POLR2I,M5
POLR2M,M5
POLR3K,M5
POLRMT,M5
PON2,M5
PORCN,M5
POU6F1,M5
PPAT,M5
PPFIA4,M5
PPIAL4H,M5
PPIAP22,M5
PPIAP29,M5
PPIH,M5
PPIP5K1,M5
PPM1G,M5
PPM1L,M5
PPP1CC,M5
PPP1R16B,M5
PPP1R8,M5
PPP2R3B,M5
PPP4R2,M5
PPP5C,M5
PPP6C,M5
PPT2-EGFL8,M5
PPTC7,M5
PPWD1,M5
PRAME,M5
PRAMENP,M5
PRDM4,M5
PRDX4,M5
PRELID3B,M5
PRF1,M5
PRKAB2,M5
PRKAR2A,M5
PRKAR2A-AS1,M5
PRKCE,M5
PRKCH-AS1,M5
PRKCI,M5
PRKX,M5
PRMT2,M5
PRMT7,M5
PROSER3,M5
PRPF19,M5
PRPF4,M5
PRPS2,M5
PRR5,M5
PRSS21,M5
PRSS23,M5
PRSS53,M5
PSMA4,M5
PSMA6,M5
PSMB6,M5
PSMC5,M5
PSMD10,M5
PSMD5,M5
PSME3,M5
PSMG3,M5
PSMG4,M5
PTBP1,M5
PTCD1,M5
PTGER4,M5
PTMAP5,M5
PTP4A3,M5
PTPDC1,M5
PTPMT1,M5
PTPN22,M5
PTPN23,M5
PTPN9,M5
PTPRA,M5
PTPRK,M5
PTPRM,M5
PTPRN2,M5
PTRHD1,M5
PUDP,M5
PUM2,M5
PURA,M5
PUSL1,M5
PVT1,M5
PYCR1,M5
PYGO2,M5
PYGO2-AS1,M5
QARS1,M5
QKI,M5
RAB11A,M5
RAB11FIP4,M5
RAB11FIP5,M5
RAB14,M5
RAB1A,M5
RAB21,M5
RAB22A,M5
RAB37,M5
RAB3IP,M5
RAB9A,M5
RAC1P2,M5
RAD52,M5
RAD54L2,M5
RALGAPB,M5
RANBP1,M5
RANBP6,M5
RANGAP1,M5
RAP1BL,M5
RAP2A,M5
RARS1,M5
RASA2,M5
RASSF7,M5
RAVER2,M5
RB1,M5
RBBP6,M5
RBFA,M5
RBM15,M5
RBM17,M5
RBM38-AS1,M5
RBM43,M5
RBX1,M5
RCAN2,M5
RCC1,M5
RCHY1,M5
RECQL,M5
REELD1,M5
REG4,M5
REX1BD,M5
REXO4,M5
RFC3,M5
RFT1,M5
RFX5,M5
RFX7,M5
RGPD1,M5
RGPD2,M5
RHBDD1,M5
RHBDD3,M5
RHOBTB3,M5
RHOU,M5
RIF1,M5
RIMBP3C,M5
RING1,M5
RIOX1,M5
RMC1,M5
RMDN2,M5
RMND5A,M5
RMP64,M5
RN7SL5P,M5
RNF139-DT,M5
RNF144A,M5
RNF157-AS1,M5
RNF214,M5
RNF38,M5
RNF6,M5
RNFT2,M5
RPAIN,M5
RPAP1,M5
RPL10P6,M5
RPL10P9,M5
RPL13P12,M5
RPL15P22,M5
RPL15P3,M5
RPL15P5,M5
RPL18,M5
RPL21P1,M5
RPL21P116,M5
RPL21P119,M5
RPL21P120,M5
RPL23,M5
RPL24P8,M5
RPL28,M5
